ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2025-01-01T22:47:44.819729990Z,2025-01-01T22:47:44.819611105Z,10,1,29307,M,A,0,1.2509,2,130,16171,28101471,1.2505,1.2509,11,2,2,1,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
2025-01-01T22:47:44.819739113Z,2025-01-01T22:47:44.819622183Z,10,1,29307,C,B,0,1.2505,3,130,12656,28101472,1.2505,1.2509,8,2,1,1,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
2025-01-01T22:47:45.819749546Z,2025-01-01T22:47:45.819627483Z,10,1,29307,M,A,0,1.2509,1,130,17375,28101478,1.2505,1.2509,8,1,1,1,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
2025-01-01T22:47:45.819758839Z,2025-01-01T22:47:45.819638407Z,10,1,29307,M,B,0,1.2505,6,130,13039,28101479,1.2505,1.2509,6,1,1,1,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
2025-01-01T22:47:46.819761593Z,2025-01-01T22:47:46.819636803Z,10,1,29307,C,A,0,1.2509,1,130,16797,28101484,1.2505,1.251,6,33,1,2,1.2504,1.2511,32,32,4,5,1.2503,1.2512,33,37,6,6,1.2502,1.2513,35,33,2,5,1.2501,1.2514,34,32,5,3,1.25,1.2515,34,34,5,7,1.2499,1.2516,35,32,8,4,1.2498,1.2517,36,52,3,5,1.2497,1.2518,34,33,1,5,1.2496,1.2519,35,34,1,4,6BH5
2025-01-01T22:47:46.819770217Z,2025-01-01T22:47:46.819648399Z,10,1,29307,M,B,0,1.2505,4,130,12644,28101485,1.2505,1.251,4,33,1,2,1.2504,1.2511,32,32,4,5,1.2503,1.2512,33,37,6,6,1.2502,1.2513,35,33,2,5,1.2501,1.2514,34,32,5,3,1.25,1.2515,34,34,5,7,1.2499,1.2516,35,32,8,4,1.2498,1.2517,36,52,3,5,1.2497,1.2518,34,33,1,5,1.2496,1.2519,35,34,1,4,6BH5
2025-01-01T22:47:47.819748458Z,2025-01-01T22:47:47.819625751Z,10,1,29307,M,B,0,1.2505,3,130,15459,28101491,1.2505,1.251,3,33,1,2,1.2504,1.2511,32,32,4,5,1.2503,1.2512,33,37,6,6,1.2502,1.2513,35,33,2,5,1.2501,1.2514,34,32,5,3,1.25,1.2515,34,34,5,7,1.2499,1.2516,35,32,8,4,1.2498,1.2517,36,52,3,5,1.2497,1.2518,34,33,1,5,1.2496,1.2519,35,34,1,4,6BH5
2025-01-01T22:47:48.819780538Z,2025-01-01T22:47:48.819647765Z,10,1,29307,M,B,0,1.2505,2,130,19105,28101496,1.2505,1.251,2,33,1,2,1.2504,1.2511,32,32,4,5,1.2503,1.2512,33,37,6,6,1.2502,1.2513,35,33,2,5,1.2501,1.2514,34,32,5,3,1.25,1.2515,34,34,5,7,1.2499,1.2516,35,32,8,4,1.2498,1.2517,36,52,3,5,1.2497,1.2518,34,33,1,5,1.2496,1.2519,35,34,1,4,6BH5
2025-01-01T22:47:49.819733488Z,2025-01-01T22:47:49.819616451Z,10,1,29307,M,B,0,1.2505,1,130,15673,28101501,1.2505,1.251,1,33,1,2,1.2504,1.2511,32,32,4,5,1.2503,1.2512,33,37,6,6,1.2502,1.2513,35,33,2,5,1.2501,1.2514,34,32,5,3,1.25,1.2515,34,34,5,7,1.2499,1.2516,35,32,8,4,1.2498,1.2517,36,52,3,5,1.2497,1.2518,34,33,1,5,1.2496,1.2519,35,34,1,4,6BH5
2025-01-01T22:47:50.819726587Z,2025-01-01T22:47:50.819610191Z,10,1,29307,C,B,0,1.2505,1,130,16214,28101505,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,1.2495,1.2519,35,34,1,4,6BH5
2025-01-01T22:48:28.820816671Z,2025-01-01T22:48:28.820681087Z,10,1,29307,M,B,0,1.2504,3,130,15759,28101679,1.2504,1.251,26,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,1.2495,1.2519,35,34,1,4,6BH5
2025-01-01T22:48:29.820873943Z,2025-01-01T22:48:29.820744753Z,10,1,29307,M,B,0,1.2504,2,130,16314,28101687,1.2504,1.251,24,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,1.2495,1.2519,35,34,1,4,6BH5
2025-01-01T22:48:29.820881354Z,2025-01-01T22:48:29.820755063Z,10,1,29307,C,B,0,1.2504,3,130,11788,28101688,1.2504,1.251,21,33,3,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,1.2495,1.2519,35,34,1,4,6BH5
2025-01-01T22:48:30.820848654Z,2025-01-01T22:48:30.820718031Z,10,1,29307,C,B,0,1.2504,2,130,16350,28101698,1.2504,1.251,19,33,2,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,1.2495,1.2519,35,34,1,4,6BH5
