iter	RMSE
0	0.0973688369
1	0.09734088821
2	0.09731200214
3	0.0972816076
4	0.09725167724
5	0.09721868753
6	0.09718679357
7	0.09716120371
8	0.0971290767
9	0.09708629815
10	0.09702580877
11	0.09700653449
12	0.09698585046
13	0.09693533943
14	0.0969115731
15	0.09688672385
16	0.09685020106
17	0.09682405149
18	0.09678333694
19	0.09675242819
20	0.09672173515
21	0.09669391689
22	0.09666232817
23	0.09664452169
24	0.0966240556
25	0.09659988917
26	0.09655782904
27	0.09652952262
28	0.09649923684
29	0.09646180419
30	0.09644078416
31	0.09642368421
32	0.09640321997
33	0.09637283885
34	0.09635304091
35	0.09632498611
36	0.0962905645
37	0.09625927716
38	0.09622034156
39	0.09620468015
40	0.09613476217
41	0.09609722433
42	0.09607692504
43	0.09604739226
44	0.09601093455
45	0.09597928707
46	0.09594848091
47	0.09592313353
48	0.09590467041
49	0.0958758477
50	0.09584051583
51	0.09580269026
52	0.09578910393
53	0.09575270841
54	0.09571169825
55	0.09566883364
56	0.09565349736
57	0.09562756921
58	0.09560722115
59	0.09558970514
60	0.09555089835
61	0.09551588152
62	0.09548247738
63	0.09545734749
64	0.09543152258
65	0.09540335921
